#,Palavra,Pronúncia,Tradução,Contexto
3948,realm,,reino,
3949,ban,,banimento,
3950,to strip,,despir,
3951,to cancel,,cancelar,
3952,to blend,,misturar,
3953,therapist,,terapeuta,
3954,to slice,,fatiar,
3955,to peel,,descascar,
3956,pizza,,pizza,
3957,recipient,,destinatário,
3958,to hesitate,,hesitar,
3959,to flip,,virar,
3960,accounting,,contabilidade,
3961,to debate,,debater,
3962,bias,,viés,
3963,huh,,hã,
3964,metaphor,,metáfora,
3965,candle,,vela,
3966,handle,,lidar com,
3967,worry,,preocupar,
3968,judicial,,judicial,
3969,entity,,entidade,
3970,suffering,,sofrimento,
3971,full-time,,tempo total,
3972,feel,,sentir,
3973,lamp,,lâmpada,
3974,garbage,,lixo,
3975,servant,,servo,
3976,addition,,adição,
3977,regulatory,,regulamentar,
3978,diplomatic,,diplomático,
3979,elegant,,elegante,
3980,inside,,dentro,
3981,reception,,recepção,
3982,to vanish,,desaparecer,
3983,automatically,,automaticamente,
3984,chin,,queixo,
3985,to trail,,trilhar,
3986,necessity,,necessidade,
3987,to confess,,confessar,
3988,racism,,racismo,
3989,starter,,iniciante,
3990,interior,,interior,
3991,banking,,bancário,
3992,casual,,casual,
3993,gravity,,gravidade,
3994,to enroll,,matricular,
3995,to diminish,,para diminuir,
3996,prevention,,prevenção,
3997,Arab,,árabe,
3998,to value,,dar valor,
3999,to minimize,,para minimizar,
4000,to chop,,cortar,
4001,performer,,artista,
4002,intent,,intenção,
4003,to isolate,,isolar,
4004,to pump,,bombear,
4005,inventory,,inventário,
4006,productive,,produtivo,
4007,assembly,,conjunto,
4008,civic,,cívico,
4009,silk,,seda,
4010,magnitude,,magnitude,
4011,steep,,íngreme,
4012,hostage,,refém,
4013,collector,,colecionador,
4014,popularity,,popularidade,
4015,kiss,,beijo,
4016,alien,,estrangeiro,
4017,dynamic,,dinâmico,
4018,scary,,apavorante,
4019,equation,,equação,
4020,angel,,anjo,
4021,switch,,trocar,
4022,offering,,oferta,
4023,rage,,fúria,
4024,photography,,fotografia,
4025,to repair,,reparar,
4026,toilet,,toalete,
4027,disappointed,,decepcionado,
4028,precious,,precioso,
4029,to prohibit,,proibir,
4030,representative,,representante,
4031,content,,contente,
4032,realistic,,realista,
4033,Russian,,russo,
4034,hidden,,escondido,
4035,to command,,comandar,
4036,tender,,macio,
4037,wake,,acordar,
4038,gathering,,reunião,
4039,outstanding,,excelente,
4040,to stumble,,tropeçar,
4041,lonely,,sozinho,
4042,automobile,,automóvel,
4043,artificial,,artificial,
4044,dawn,,alvorecer,
4045,abstract,,resumo,
4046,to descend,,descer,
4047,silly,,boba,
4048,to hook,,engatar,
4049,tide,,maré,
4050,shared,,compartilhado,
4051,hopefully,,esperançosamente,
4052,readily,,prontamente,
4053,to cooperate,,cooperar,
4054,revolutionary,,revolucionário,
4055,romance,,romance,
4056,hardware,,ferragens,
4057,pillow,,almofada,
4058,kit,,kit,
4059,cook,,cozinheiro,
4060,spread,,espalhar,
4061,continent,,continente,
4062,to seal,,selar,
4063,circuit,,o circuito,
4064,sink,,afundar,
4065,ruling,,decisão,
4066,shortage,,falta,
4067,annually,,anualmente,
4068,lately,,recentemente,
4069,trap,,armadilha,
4070,to scan,,para digitalizar,
4071,fool,,enganar,
4072,deadline,,prazo final,
4073,rear,,traseira,
4074,processing,,em processamento,
4075,ranch,,rancho,
4076,coastal,,costeiro,
4077,to undertake,,para empreender,
4078,softly,,suavemente,
4079,to reserve,,reservar,
4080,burning,,queimando,
4081,verbal,,verbal,
4082,tribal,,tribal,
4083,ridiculous,,ridículo,
4084,automatic,,automático,
4085,diamond,,diamante,
4086,credibility,,credibilidade,
4087,import,,importar,
4088,sexually,,sexualmente,
4089,to spring,,a primavera,
4090,way,,maneira,
4091,divine,,divino,
4092,sentiment,,sentimento,
4093,cart,,carrinho,
4094,to oversee,,supervisionar,
4095,to stem,,estalar,
4096,elder,,mais velho,
4097,pro,,pró,
4098,inspiration,,inspiração,
4099,Dutch,,holandês,
4100,quantity,,quantidade,
4101,trailer,,reboque,
4102,mate,,amigo,
4103,o'clock,,horas,
4104,Greek,,grego,
4105,genius,,gênio,
4106,monument,,monumento,
4107,bid,,oferta,
4108,quest,,busca,
4109,sacrifice,,sacrifício,
4110,invitation,,convite,
4111,accuracy,,precisão,
4112,juror,,jurado,
4113,officially,,oficialmente,
4114,broker,,corretor,
4115,treasure,,tesouro,
4116,loyalty,,lealdade,
4117,to credit,,creditar,
4118,to shock,,chocar,
4119,talented,,talentoso,
4120,gasoline,,gasolina,
4121,stiff,,duro,
4122,output,,saída,
4123,nominee,,candidato,
4124,extended,,estendido,
4125,to please,,agradar,
4126,diabetes,,diabetes,
4127,to slap,,dar um tapa,
4128,toxic,,tóxico,
4129,alleged,,alegado,
4130,jaw,,mandíbula,
4131,grief,,pesar,
4132,mysterious,,misterioso,
4133,rocket,,foguete,
4134,to donate,,para doar,
4135,inmate,,preso,
4136,to tackle,,enfrentar,
4137,dynamics,,dinâmica,
4138,bow,,arco,
4139,ours,,o nosso,
4140,senior,,senior,
4141,dignity,,dignidade,
4142,carpet,,tapete,
4143,parental,,parental,
4144,bubble,,bolha,
4145,to heat,,aquecer,
4146,buddy,,camarada,
4147,barn,,celeiro,
4148,sword,,espada,
4149,flash,,instantâneo,
4150,seventh,,sétimo,
4151,glory,,glória,
4152,tightly,,firmemente,
4153,protective,,protetor,
4154,to tuck,,dobrar,
4155,drum,,tambor,
4156,faint,,desmaiar,
4157,to post,,para postar,
4158,queen,,rainha,
4159,dilemma,,dilema,
4160,input,,entrada,
4161,to specialize,,se especializar,
4162,northeast,,nordeste,
4163,shallow,,raso,
4164,liability,,responsabilidade,
4165,to sail,,navegar,
4166,merchant,,comerciante,
4167,stadium,,estádio,
4168,improved,,melhorado,
4169,bloody,,sangrento,
4170,defeat,,derrota,
4171,associated,,associado,
4172,withdrawal,,cancelamento,
4173,refrigerator,,frigorífico,
4174,nest,,ninho,
4175,near,,aproximar,
4176,thoroughly,,completamente,
4177,lane,,faixa,
4178,ancestor,,antepassado,
4179,to condemn,,para condenar,
4180,steam,,vapor,
4181,accent,,sotaque,
4182,escape,,escapar,
4183,optimistic,,otimista,
4184,to unite,,para unir,
4185,cage,,cela,
4186,to equip,,equipar,
4187,shrimp,,camarão,
4188,homeland,,terra natal,
4189,to exchange,,trocar,
4190,rack,,prateleira,
4191,costume,,traje,
4192,wolf,,lobo,
4193,courtroom,,tribunal,
4194,statute,,estatuto,
4195,cartoon,,desenho animado,
4196,besides,,além do mais,
4197,productivity,,produtividade,
4198,to grin,,a sorrir,
4199,symbolic,,simbólico,
4200,seal,,selo,
4201,bug,,erro,
4202,to bless,,abençoar,
4203,aunt,,tia,
4204,agriculture,,agricultura,
4205,to rock,,balançar,
4206,hostile,,hostil,
4207,to root,,enraizar,
4208,to conceive,,conceber,
4209,combined,,combinado,
4210,instantly,,imediatamente,
4211,bankruptcy,,falência,
4212,vaccine,,vacina,
4213,bonus,,bônus,
4214,collaboration,,colaboração,
4215,mixed,,misturado,
4216,opposed,,em oposição,
4217,orbit,,órbita,
4218,to grasp,,alcançar,
4219,patience,,paciência,
4220,spite,,apesar de,
4221,tropical,,tropical,
4222,voting,,votação,
4223,patrol,,patrulha,
4224,willingness,,disposição,
4225,to position,,posicionar,
4226,revelation,,revelação,
4227,rent,,aluguel,
4228,to calm,,acalmar,
4229,jewelry,,joalheria,
4230,Cuban,,cubano,
4231,to haul,,transportar,
4232,to concede,,conceder,
4233,trace,,vestígio,
4234,wagon,,vagão,
4235,afterward,,depois,
4236,spectacular,,espetacular,
4237,to ruin,,arruinar,
4238,sheer,,puro,
4239,prior,,prévio,
4240,immune,,imune,
4241,reliability,,confiabilidade,
4242,ass,,bunda,
4243,alongside,,ao lado,
4244,bush,,arbusto,
4245,exotic,,exótico,
4246,fascinating,,fascinante,
4247,secure,,seguro,
4248,clip,,grampo,
4249,thigh,,coxa,
4250,bull,,touro,
4251,drawer,,gaveta,
4252,regard,,com respeito,
4253,sheep,,ovelha,
4254,to discourage,,desencorajar,
4255,coordinator,,coordenador,
4256,ideological,,ideológico,
4257,runner,,corredor,
4258,secular,,secular,
4259,intimate,,íntimo,
4260,empire,,império,
4261,cab,,táxi,
4262,to divorce,,divorciar,
4263,exam,,exame,
4264,documentary,,documentário,
4265,neutral,,neutro,
4266,biology,,biologia,
4267,flexible,,flexível,
4268,progressive,,progressivo,
4269,web,,rede,
4270,conspiracy,,conspiração,
4271,catch,,pegar,
4272,casualty,,acidente,
4273,republic,,república,
4274,execution,,execução,
4275,terrific,,formidável,
4276,whale,,baleia,
4277,functional,,funcional,
4278,to star,,estrelar,
4279,to draft,,fazer um rascunho,
4280,instinct,,instinto,
4281,teammate,,companheiro de equipe,
4282,aluminum,,alumínio,
4283,whoever,,quem quer que seja,
4284,ministry,,ministério,
4285,verdict,,veredito,
4286,to instruct,,para instruir,
4287,skull,,crânio,
4288,self-esteem,,auto estima,
4289,ease,,facilidade,
4290,cooperative,,cooperativo,
4291,to manipulate,,manipular,
4292,bee,,abelha,
4293,practitioner,,praticante,
4294,loop,,ciclo,
4295,to edit,,editar,
4296,to whip,,chicotear,
4297,puzzle,,quebra-cabeça,
4298,mushroom,,cogumelo,
4299,subsidy,,subvenção,
4300,to boil,,ferver,
4301,tragic,,trágico,
4302,mathematics,,matemática,
4303,mechanic,,mecânico,
4304,jar,,jarra,
4305,respect,,respeito,
4306,earthquake,,terremoto,
4307,pork,,carne de porco,
4308,creativity,,criatividade,
4309,safely,,com segurança,
4310,underlying,,subjacente,
4311,dessert,,sobremesa,
4312,sympathy,,simpatia,
4313,fisherman,,pescador,
4314,incredibly,,incrivelmente,
4315,isolation,,isolamento,
4316,sock,,meia,
4317,near,,aproximar,
4318,jump,,pular,
4319,eleven,,onze,
4320,sexy,,sexy,
4321,entrepreneur,,empreendedor,
4322,syndrome,,síndrome,
4323,bureau,,escritório,
4324,to seat,,para sentar,
4325,workplace,,ambiente de trabalho,
4326,ambition,,ambição,
4327,touchdown,,aterragem,
4328,to utilize,,utilizar,
4329,breeze,,brisa,
4330,costly,,dispendioso,
4331,ambitious,,ambicioso,
4332,Christianity,,cristandade,
4333,presumably,,presumivelmente,
4334,influential,,influente,
4335,translation,,tradução,
4336,uncertain,,incerto,
4337,to dissolve,,dissolver,
4338,to object,,objetar,
4339,statistical,,estatística,
4340,gut,,intestino,
4341,metropolitan,,metropolitano,
4342,rolling,,rolando,
4343,aesthetic,,estética,
4344,to spell,,soletrar,
4345,to insert,,inserir,
4346,booth,,cabine,
4347,helmet,,capacete,
4348,waist,,cintura,
4349,expected,,esperado,
4350,lion,,leão,
4351,accomplishment,,realização,
4352,royal,,real,
4353,panic,,pânico,
4354,cast,,elencar,
4355,to crush,,esmagar,
4356,actively,,ativamente,
4357,cliff,,penhasco,
4358,minimal,,mínimo,
4359,cord,,cordão,
4360,fortunately,,felizmente,
4361,cocaine,,cocaína,
4362,illusion,,ilusão,
4363,anonymous,,anônimo,
4364,to tolerate,,tolerar,
4365,appreciation,,apreciação,
4366,commissioner,,comissário,
4367,to harm,,magoar,
4368,flexibility,,flexibilidade,
4369,instructional,,instrutivo,
4370,to scramble,,embaralhar,
4371,casino,,cassino,
4372,tumor,,tumor,
4373,to decorate,,decorar,
4374,to sort,,ordenar,
4375,charge,,carregar,
4376,pulse,,pulso,
4377,equivalent,,equivalente,
4378,fixed,,fixo,
4379,experienced,,com experiência,
4380,donation,,doação,
4381,diary,,diário,
4382,sibling,,irmão,
4383,irony,,ironia,
4384,spoon,,colher,
4385,midst,,meio,
4386,alley,,beco,
4387,upset,,chateado,
4388,to interact,,interagir,
4389,soap,,sabão,
4390,cute,,fofa,
4391,rival,,rival,
4392,short-term,,curto prazo,
4393,to punch,,socar,
4394,pin,,alfinete,
4395,hockey,,hóquei,
4396,passing,,passagem,
4397,to persist,,persistir,
4398,supplier,,fornecedor,
4399,known,,conhecido,
4400,momentum,,impulso,
4401,purse,,bolsa,
4402,to shed,,derramar,
4403,liquid,,líquido,
4404,icon,,ícone,
4405,elephant,,elefante,
4406,consequently,,consequentemente,
4407,legislature,,legislatura,
4408,associate,,associado,
4409,franchise,,franquia,
4410,correctly,,corretamente,
4411,mentally,,mentalmente,
4412,to foster,,promover,
4413,bicycle,,bicicleta,
4414,encouraging,,encorajando,
4415,to cheat,,trair,
4416,to access,,acessar,
4417,to heal,,curar,
4418,fever,,febre,
4419,filter,,filtro,
4420,rabbit,,coelho,
4421,coin,,moeda,
4422,to exploit,,para explorar,
4423,accessible,,acessível,
4424,organism,,organismo,
4425,sensation,,sensação,
4426,partially,,parcialmente,
4427,stay,,fica,
4428,upstairs,,andar de cima,
4429,dried,,seco,
4430,minimum,,mínimo,
4431,pro,,pró,
4432,conservation,,conservação,
4433,to shove,,empurrar,
4434,backyard,,quintal,
4435,charter,,carta,
4436,stove,,forno,
4437,consent,,consentimento,
4438,to comprise,,para compreender,
4439,reminder,,lembrete,
4440,alike,,parecido,
4441,placement,,colocação,
4442,dough,,massa,
4443,grandchild,,neto,
4444,dam,,barragem,
4445,reportedly,,supostamente,
4446,well-known,,bem conhecido,
4447,surrounding,,em torno da,
4448,ecological,,ecológico,
4449,outfit,,roupa,
4450,unprecedented,,sem precedente,
4451,columnist,,colunista,
4452,workout,,treino,
4453,preliminary,,preliminares,
4454,patent,,patente,
4455,shy,,tímido,
4456,quote,,citar,
4457,trash,,lixo,
4458,disabled,,desativado,
4459,gross,,bruto,
4460,damn,,droga,
4461,hormone,,hormônio,
4462,texture,,textura,
4463,to counter,,para contrariar,
4464,pencil,,lápis,
4465,associate,,associado,
4466,frontier,,fronteira,
4467,spray,,pulverizar,
4468,bet,,aposta,
4469,to disclose,,divulgar,
4470,custody,,custódia,
4471,banker,,banqueiro,
4472,beast,,fera,
4473,to interfere,,interferir,
4474,oak,,carvalho,
4475,case,,caso,
4476,eighth,,oitavo,
4477,notebook,,caderno,
4478,to outline,,delinear,
4479,to gaze,,olhar,
4480,attendance,,comparecimento,
4481,speculation,,especulação,
4482,to uncover,,desmascarar,
4483,behalf,,em nome de,
4484,innovative,,inovativa,
4485,shark,,tubarão,
4486,to reward,,para recompensar,
4487,mill,,moinho,
4488,installation,,instalação,
4489,to stimulate,,para estimular,
4490,tag,,marcação,
4491,vertical,,vertical,
4492,swimming,,natação,
4493,fleet,,frota,
4494,catalog,,catálogo,
4495,outsider,,estranho,
4496,to sacrifice,,sacrificar,
4497,desperately,,desesperadamente,
4498,stance,,posição,
4499,to compel,,para obrigar,
4500,sensitivity,,sensibilidade,
4501,someday,,algum dia,
4502,instant,,instante,
4503,debut,,estréia,
4504,to proclaim,,proclamar,
4505,worldwide,,no mundo todo,
4506,to hike,,caminhar,
4507,required,,requerido,
4508,confrontation,,confronto,
4509,colorful,,colorida,
4510,ideal,,ideal,
4511,constitution,,constituição,
4512,trainer,,treinador,
4513,Thanksgiving,,ação de graças,
4514,scent,,fragrância,
4515,stack,,pilha,
4516,eyebrow,,sobrancelha,
4517,sack,,saco,
4518,to cease,,cessar,
4519,to inherit,,herdar,
4520,tray,,bandeja,
4521,pioneer,,pioneiro,
4522,organizational,,organizacional,
4523,textbook,,livro didático,
4524,uh,,uh,
4525,nasty,,desagradável,
4526,to shrink,,a encolher,
4527,to model,,modelar,
4528,emerging,,emergente,
4529,dot,,ponto,
4530,wheat,,trigo,
4531,fierce,,feroz,
4532,to envision,,a vislumbrar,
4533,rational,,racional,
4534,kingdom,,parente,
4535,aisle,,corredor,
4536,to weaken,,enfraquecer,
4537,protocol,,protocolo,
4538,exclusively,,exclusivamente,
4539,vocal,,vocal,
4540,marketplace,,mercado,
4541,openly,,abertamente,
4542,unfair,,injusto,
4543,terrain,,terreno,
4544,to deploy,,implantar,
4545,risky,,arriscado,
4546,pasta,,massa,
4547,genre,,gênero,
4548,to distract,,para distrair,
4549,merit,,mérito,
4550,planner,,planejador,
4551,depressed,,depressivo,
4552,chunk,,pedaço,
4553,closest,,mais próximo,
4554,discount,,desconto,
4555,no,,não,
4556,ladder,,escada,
4557,jungle,,selva,
4558,migration,,migração,
4559,breathing,,respirando,
4560,to invade,,invadir,
4561,hurricane,,furacão,
4562,retailer,,varejista,
4563,to classify,,classificar,
4564,to wound,,ferir,
4565,coup,,golpe,
4566,to aid,,ajudar,
4567,ambassador,,embaixador,
4568,density,,densidade,
4569,supportive,,solidário,
4570,curiosity,,curiosidade,
4571,to skip,,pular,
4572,aggression,,agressão,
4573,stimulus,,estímulo,
4574,journalism,,jornalismo,
4575,robot,,robô,
4576,to flood,,inundar,
4577,to dip,,mergulhar,
4578,likewise,,da mesma forma,
4579,informal,,informal,
4580,Persian,,persa,
4581,feather,,pluma,
4582,sphere,,esfera,
4583,to tighten,,apertar,
4584,to boast,,gabar,
4585,to pat,,acariciar,
4586,perceived,,percebido,
4587,sole,,único,
4588,publicity,,publicidade,
4589,major,,formar-se,
4590,to unfold,,revelar,
4591,to joke,,zoar,
4592,well-being,,bem-estar,
4593,validity,,validade,
4594,ecosystem,,ecossistema,
4595,strictly,,estritamente,
4596,partial,,parcial,
4597,collar,,colarinho,
4598,weed,,erva daninha,
4599,compliance,,conformidade,
4600,streak,,onda,
4601,supposedly,,supostamente,
4602,added,,adicionado,
4603,builder,,construtor,
4604,glimpse,,vislumbre,
4605,premise,,premissa,
4606,specialty,,especialidade,
4607,to deem,,julgar,
4608,artifact,,artefato,
4609,to sneak,,esgueirar-se,
4610,monkey,,macaco,
4611,mentor,,mentor,
4612,two-thirds,,dois terços,
4613,listener,,ouvinte,
4614,lightning,,raio,
4615,legally,,legalmente,
4616,sleeve,,manga,
4617,disappointment,,desapontamento,
4618,to disturb,,perturbar,
4619,rib,,costela,
4620,excessive,,excessivo,
4621,high-tech,,alta tecnologia,
4622,debris,,destroços,
4623,to pile,,empilhar,
4624,rod,,cajado,
4625,logical,,lógico,
4626,liberal,,liberal,
4627,ash,,cinza,
4628,socially,,socialmente,
4629,parish,,freguesia,
4630,slavery,,escravidão,
4631,blank,,em branco,
4632,commodity,,mercadoria,
4633,cure,,cura,
4634,mineral,,mineral,
4635,hunger,,fome,
4636,dying,,morrendo,
4637,developmental,,desenvolvimento,
4638,faster,,mais rápido,
4639,to spare,,poupar,
4640,halfway,,a meio caminho,
4641,to cure,,curar,
4642,equality,,igualdade,
4643,cemetery,,cemitério,
4644,harassment,,assédio,
4645,deliberately,,deliberadamente,
4646,fame,,fama,
4647,to regret,,lamentar,
4648,striking,,impressionante,
4649,likelihood,,probabilidade,
4650,carrot,,cenoura,
4651,atop,,no topo,
4652,toll,,pedágio,
4653,rim,,aro,
4654,embarrassed,,envergonhado,
4655,fucking,,porra,
4656,to cling,,agarrar-se,
4657,isolated,,isolado,
4658,to blink,,pestanejar,
4659,suspicious,,suspeito,
4660,wheelchair,,cadeira de rodas,
4661,squad,,esquadrão,
4662,eligible,,elegível,
4663,processor,,processador,
4664,to plunge,,mergulhar,
4665,this,,esta,
4666,sponsor,,patrocinador,
4667,grin,,sorriso,
4668,to color,,colorir,
4669,demographic,,demográfico,
4670,to rain,,chover,
4671,chill,,frio,
4672,refuge,,refúgio,
4673,to steer,,dirigir,
4674,legislator,,legislador,
4675,rally,,corrida,
4676,programming,,programação,
4677,to cheer,,para alegrar,
4678,outlet,,tomada,
4679,intact,,intacto,
4680,vendor,,fornecedor,
4681,to thrive,,prosperar,
4682,peanut,,amendoim,
4683,to chew,,mastigar,
4684,elaborate,,elaborar,
4685,intellectual,,intelectual,
4686,conception,,concepção,
4687,auction,,leilão,
4688,steak,,steak,
4689,to comply,,cumprir,
4690,triumph,,triunfo,
4691,shareholder,,acionista,
4692,comparable,,comparável,
4693,to transport,,para transportar,
4694,conscience,,consciência,
4695,calculation,,cálculo,
4696,considerably,,consideravelmente,
4697,interval,,intervalo,
4698,to scratch,,arranhar,
4699,awake,,acordado,
4700,jurisdiction,,jurisdição,
4701,inevitably,,inevitavelmente,
4702,feminist,,feminista,
4703,constraint,,limitação,
4704,emotionally,,emocionalmente,
4705,expedition,,expedição,
4706,allegedly,,alegadamente,
4707,to compromise,,comprometer,
4708,to strain,,esticar,
4709,similarity,,similaridade,
4710,butt,,bunda,
4711,lid,,tampa,
4712,dumb,,idiota,
4713,bulk,,volume,
4714,to sprinkle,,para polvilhar,
4715,mortality,,mortalidade,
4716,philosophical,,filosófico,
4717,conversion,,conversão,
4718,patron,,patrono,
4719,municipal,,municipal,
4720,any,,algum,
4721,liver,,fígado,
4722,harmony,,harmonia,
4723,solely,,unicamente,
4724,tolerance,,tolerância,
4725,instant,,instante,
4726,goat,,bode,
4727,to arm,,armar,
4728,blessing,,bênção,
4729,banana,,banana,
4730,running,,encontro,
4731,palace,,palácio,
4732,formerly,,antigamente,
4733,peasant,,camponês,
4734,neat,,arrumado,
4735,grandparent,,avó,
4736,lawmaker,,legislador,
4737,supermarket,,supermercado,
4738,cruise,,cruzeiro,
4739,mobile,,móvel,
4740,plain,,avião,
4741,part,,parte,
4742,calendar,,calendário,
4743,widow,,viúva,
4744,deposit,,depósito,
4745,beard,,barba,
4746,brake,,freio,
4747,downtown,,centro da cidade,
4748,screening,,triagem,
4749,impulse,,impulso,
4750,to forbid,,proibir,
4751,fur,,pelagem,
4752,brutal,,brutal,
4753,predator,,predador,
4754,to poke,,cutucar,
4755,to opt,,optar,
4756,voluntary,,voluntário,
4757,to trouble,,incomodar,
4758,valid,,válido,
4759,forum,,fórum,
4760,dancing,,dançando,
4761,happily,,felizmente,
4762,to soar,,subir,
4763,removal,,remoção,
4764,autonomy,,autonomia,
4765,to enact,,promulgar,
4766,to round,,arredondar,
4767,thread,,fio,
4768,light,,à luz de,
4769,landmark,,marco,
4770,unhappy,,infeliz,
4771,offender,,infrator,
4772,coming,,chegando,
4773,privately,,em particular,
4774,fraction,,fração,
4775,distinctive,,distintivo,
4776,tourism,,turismo,
4777,threshold,,limite,
4778,calm,,calma,
4779,routinely,,rotineiramente,
4780,suite,,suíte,
4781,to remark,,observar,
4782,regulator,,regulador,
4783,straw,,palha,
4784,theological,,teológico,
4785,apart,,separado,
4786,to exhaust,,muito cansado,
4787,globe,,globo,
4788,fragile,,frágil,
4789,objection,,objeção,
4790,chemistry,,química,
4791,old-fashioned,,antiquado,
4792,crowded,,lotado,
4793,to circle,,circular,
4794,blast,,explosão,
4795,to prevail,,prevalecer,
4796,overnight,,durante a noite,
4797,denial,,negação,
4798,rental,,aluguel,
4799,fantastic,,fantástico,
4800,fragment,,fragmento,
4801,level,,nível,
4802,to screw,,parafusar,
4803,warmth,,cordialidade,
4804,undergraduate,,estudante universitário,
4805,liquid,,líquido,
4806,headache,,dor de cabeça,
4807,policeman,,policial,
4808,yield,,colheita,
4809,projection,,projeção,
4810,to battle,,batalhar,
4811,suitable,,adequado,
4812,mention,,menção,
4813,graduation,,graduação,
4814,to drill,,"furar, brocar, exercitar, treinar",
4815,cruel,,cruel,
4816,mansion,,mansão,
4817,regard,,respeito,
4818,grape,,uva,
4819,to authorize,,doente,
4820,cottage,,cabana,
4821,driveway,,calçada,
4822,charm,,charme,
4823,sexuality,,sexualidade,
4824,loyal,,fiel,
4825,clay,,argila,
4826,to pound,,para autorizar,
4827,balloon,,balão,
4828,invention,,invenção,
4829,ego,,ego,
4830,fare,,tarifa,
4831,homework,,trabalho de casa,
4832,disc,,disco,
4833,sofa,,sofá,
4834,guarantee,,garantia,
4835,availability,,disponibilidade,
4836,radar,,radar,
4837,to frown,,bater,
4838,to regain,,franzir a testa,
4839,leave,,deixar,
4840,permit,,permitir,
4841,sweater,,agasalho,
4842,rehabilitation,,reabilitação,
4843,rubber,,borracha,
4844,retreat,,retiro,
4845,molecule,,molécula,
4846,freely,,livremente,
4847,favorable,,favorável,
4848,steadily,,firmemente,
4849,veteran,,veterano,
4850,integrated,,integrado,
4851,ha,,ha,
4852,youngster,,jovem,
4853,to broadcast,,recuperar,
4854,premium,,prêmio,
4855,accountability,,prestação de contas,
4856,to overwhelm,,transmitir,
4857,one-third,,um terço,
4858,to contemplate,,a submergir,
4859,to update,,contemplar,
4860,to spark,,atualizar,
4861,ironically,,ironicamente,
4862,fatigue,,fadiga,
4863,beyond,,além,
4864,to speculate,,fazer faísca,
4865,marker,,marcador,
4866,low,,baixo,
4867,to preach,,especular,
4868,bucket,,balde,
4869,to bomb,,pregar,
4870,blond,,loiro,
4871,confession,,confissão,
4872,to provoke,,para bombardear,
4873,marble,,mármore,
4874,substantially,,substancialmente,
4875,twist,,torção,
4876,defender,,defensor,
4877,to fish,,provocar,
4878,explicit,,explícito,
4879,transport,,transporte,
4880,disturbing,,perturbador,
4881,surveillance,,vigilância,
4882,magnetic,,magnético,
4883,technician,,técnico,
4884,to mutter,,pescar,
4885,devastating,,devastador,
4886,to depart,,a murmurar,
4887,arrow,,seta,
4888,trauma,,trauma,
4889,neighboring,,vizinho,
4890,to soak,,partir,
4891,ribbon,,fita,
4892,meantime,,entretanto,
4893,to transmit,,encharcar,
4894,to screen,,transmitir,
4895,harvest,,colheita,
4896,consecutive,,consecutivo,
4897,republican,,republicano,
4898,to coordinate,,para tela,
4899,worldwide,,no mundo todo,
4900,within,,dentro de,
4901,spy,,espião,
4902,slot,,slot,
4903,riot,,tumulto,
4904,nutrient,,nutriente,
4905,citizenship,,cidadania,
4906,severely,,severamente,
4907,sovereignty,,soberania,
4908,ridge,,cume,
4909,brave,,corajoso,
4910,lighting,,iluminação,
4911,to specify,,coordenar,
4912,contributor,,contribuinte,
4913,to frustrate,,especificar,
4914,to crowd,,frustrar,
4915,to articulate,,multidão,
4916,importantly,,importante,
4917,transit,,transito,
4918,dense,,denso,
4919,seminar,,seminário,
4920,electronics,,eletrônicos,
4921,sunny,,ensolarado,
4922,shorts,,calção,
4923,to swell,,articular,
4924,accusation,,acusação,
4925,to soften,,inchar,
4926,to photograph,,amaciar,
4927,to straighten,,para fotografar,
4928,terribly,,terrivelmente,
4929,cue,,deixa,
4930,sudden,,de repente,
4931,bride,,noiva,
4932,biography,,biografia,
4933,hazard,,perigo,
4934,compelling,,atraente,
4935,seldom,,raramente,
4936,tile,,telha,
4937,economically,,economicamente,
4938,honestly,,honestamente,
4939,troubled,,perturbado,
4940,to bow,,endireitar,
4941,twentieth,,vigésimo,
4942,balanced,,equilibrado,
4943,foreigner,,estrangeiro,
4944,launch,,lançar,
4945,convenience,,conveniência,
4946,delight,,prazer,
4947,to weave,,curvar-se,
4948,timber,,madeira,
4949,till,,até,
4950,accurately,,com precisão,
4951,plea,,declarar,
4952,bulb,,lâmpada,
4953,to copy,,copiar,
4954,flying,,voador,
4955,sustainable,,sustentável,
4956,devil,,diabo,
4957,bolt,,parafuso,
4958,cargo,,carga,
4959,spine,,coluna vertebral,
4960,seller,,vendedor,
4961,skilled,,"especializado, habilidoso",
4962,managing,,administrativo,
4963,public,,público,
4964,marine,,marítimo,
4965,dock,,doca,
4966,organized,,organizado,
4967,fog,,névoa,
4968,diplomat,,diplomata,
4969,boring,,entediante,
4970,sometime,,em algum momento,
4971,summary,,resumo,
4972,missionary,,missionário,
4973,epidemic,,epidemia,
4974,fatal,,fatal,
4975,to trim,,"cortar, aparar",
4976,warehouse,,armazém,
4977,to accelerate,,acelerar,
4978,butterfly,,borboleta,
4979,bronze,,bronze,
4980,to drown,,afogar,
4981,inherent,,inerente,
4982,praise,,elogios,
4983,nationwide,,nacional,
4984,to spit,,cuspir,
4985,to harvest,,colher,
4986,to kneel,,ajoelhar-se,
4987,vacuum,,vácuo,
4988,selected,,selecionado,
4989,to dictate,,ditar,
4990,stereotype,,estereótipo,
4991,sensor,,sensor,
4992,laundry,,roupa suja,
4993,manual,,manual,
4994,pistol,,pistola,
